"cantidad","fecha_pedido","exceso","material"
0.019,2012-06-10,0.0003002,"001012514"
0.0057,2012-06-10,9.006e-05,"001012513"
0.0038,2012-06-10,6.004e-05,"001012512"
1.8524962,2012-06-10,0.02926943996,"001012887"
0.019,2012-06-10,0.0003002,"001012695"
3.8e-06,2012-06-10,6.004e-08,"001012766"
0.1,2012-07-03,0.00019,"001012514"
0.03,2012-07-03,5.7e-05,"001012513"
0.02,2012-07-03,3.8e-05,"001012512"
9.74998,2012-07-03,0.018524962,"001012887"
0.1,2012-07-03,0.00019,"001012695"
2e-05,2012-07-03,3.8e-08,"001012766"
0.124,2012-05-29,0.0020956,"001012514"
0.0372,2012-05-29,0.00062868,"001012513"
0.0248,2012-05-29,0.00041912,"001012512"
12.0899752,2012-05-29,0.20432058088,"001012887"
0.124,2012-05-29,0.0020956,"001012695"
2.48e-05,2012-05-29,4.1912e-07,"001012766"
0.015,2012-05-22,0.0002235,"001012514"
0.0045,2012-05-22,6.705e-05,"001012513"
0.003,2012-05-22,4.47e-05,"001012512"
1.462497,2012-05-22,0.0217912053,"001012887"
0.015,2012-05-22,0.0002235,"001012695"
3e-06,2012-05-22,4.47e-08,"001012766"
0.124,2012-06-18,0.0022692,"001012514"
0.0372,2012-06-18,0.00068076,"001012513"
0.0248,2012-06-18,0.00045384,"001012512"
12.0899752,2012-06-18,0.22124654616,"001012887"
0.124,2012-06-18,0.0022692,"001012695"
2.48e-05,2012-06-18,4.5384e-07,"001012766"
0.019,2012-08-12,0.0002337,"001012514"
0.0057,2012-08-12,7.011e-05,"001012513"
0.0038,2012-08-12,4.674e-05,"001012512"
1.8524962,2012-08-12,0.02278570326,"001012887"
0.019,2012-08-12,0.0002337,"001012695"
3.8e-06,2012-08-12,4.674e-08,"001012766"
0.019,2012-06-17,0.0002622,"001012514"
0.0057,2012-06-17,7.866e-05,"001012513"
0.0038,2012-06-17,5.244e-05,"001012512"
1.8524962,2012-06-17,0.02556444756,"001012887"
0.019,2012-06-17,0.0002622,"001012695"
3.8e-06,2012-06-17,5.244e-08,"001012766"
0.1,2012-07-17,0.0016,"001012514"
0.03,2012-07-17,0.00048,"001012513"
0.02,2012-07-17,0.00032,"001012512"
9.74998,2012-07-17,0.15599968,"001012887"
0.1,2012-07-17,0.0016,"001012695"
2e-05,2012-07-17,3.2e-07,"001012766"
0.117,2012-05-22,0.0007488,"001012514"
0.0351,2012-05-22,0.00022464,"001012513"
0.0234,2012-05-22,0.00014976,"001012512"
11.4074766,2012-05-22,0.07300785024,"001012887"
0.117,2012-05-22,0.0007488,"001012695"
2.34e-05,2012-05-22,1.4976e-07,"001012766"
0.124,2012-07-30,0.0019964,"001012514"
0.0372,2012-07-30,0.00059892,"001012513"
0.0248,2012-07-30,0.00039928,"001012512"
12.0899752,2012-07-30,0.19464860072,"001012887"
0.124,2012-07-30,0.0019964,"001012695"
2.48e-05,2012-07-30,3.9928e-07,"001012766"
0.1,2012-07-08,0.00016,"001012514"
0.03,2012-07-08,4.8e-05,"001012513"
0.02,2012-07-08,3.2e-05,"001012512"
9.74998,2012-07-08,0.015599968,"001012887"
0.1,2012-07-08,0.00016,"001012695"
2e-05,2012-07-08,3.2e-08,"001012766"
0.124,2012-06-25,0.0017732,"001012514"
0.0372,2012-06-25,0.00053196,"001012513"
0.0248,2012-06-25,0.00035464,"001012512"
12.0899752,2012-06-25,0.17288664536,"001012887"
0.124,2012-06-25,0.0017732,"001012695"
2.48e-05,2012-06-25,3.5464e-07,"001012766"
0.019,2012-06-24,0.0003477,"001012514"
0.0057,2012-06-24,0.00010431,"001012513"
0.0038,2012-06-24,6.954e-05,"001012512"
1.8524962,2012-06-24,0.03390068046,"001012887"
0.019,2012-06-24,0.0003477,"001012695"
3.8e-06,2012-06-24,6.954e-08,"001012766"
0.124,2012-08-06,0.0017236,"001012514"
0.0372,2012-08-06,0.00051708,"001012513"
0.0248,2012-08-06,0.00034472,"001012512"
12.0899752,2012-08-06,0.16805065528,"001012887"
0.124,2012-08-06,0.0017236,"001012695"
2.48e-05,2012-08-06,3.4472e-07,"001012766"
0.019,2012-06-04,0.000361,"001012514"
0.0057,2012-06-04,0.0001083,"001012513"
0.0038,2012-06-04,7.22e-05,"001012512"
1.8524962,2012-06-04,0.0351974278,"001012887"
0.019,2012-06-04,0.000361,"001012695"
3.8e-06,2012-06-04,7.22e-08,"001012766"
0.019,2012-08-05,0.0002546,"001012514"
0.0057,2012-08-05,7.638e-05,"001012513"
0.0038,2012-08-05,5.092e-05,"001012512"
1.8524962,2012-08-05,0.02482344908,"001012887"
0.019,2012-08-05,0.0002546,"001012695"
3.8e-06,2012-08-05,5.092e-08,"001012766"
0.117,2012-05-15,0.0020943,"001012514"
0.0351,2012-05-15,0.00062829,"001012513"
0.0234,2012-05-15,0.00041886,"001012512"
11.4074766,2012-05-15,0.20419383114,"001012887"
0.117,2012-05-15,0.0020943,"001012695"
2.34e-05,2012-05-15,4.1886e-07,"001012766"
0.1,2012-07-01,0.00178,"001012514"
0.03,2012-07-01,0.000534,"001012513"
0.02,2012-07-01,0.000356,"001012512"
9.74998,2012-07-01,0.173549644,"001012887"
0.1,2012-07-01,0.00178,"001012695"
2e-05,2012-07-01,3.56e-07,"001012766"
0.124,2012-07-23,0.0006572,"001012514"
0.0372,2012-07-23,0.00019716,"001012513"
0.0248,2012-07-23,0.00013144,"001012512"
12.0899752,2012-07-23,0.06407686856,"001012887"
0.124,2012-07-23,0.0006572,"001012695"
2.48e-05,2012-07-23,1.3144e-07,"001012766"
0.015,2012-05-15,9.15e-05,"001012514"
0.0045,2012-05-15,2.745e-05,"001012513"
0.003,2012-05-15,1.83e-05,"001012512"
1.462497,2012-05-15,0.0089212317,"001012887"
0.015,2012-05-15,9.15e-05,"001012695"
3e-06,2012-05-15,1.83e-08,"001012766"
0.124,2012-08-13,0.0018228,"001012514"
0.0372,2012-08-13,0.00054684,"001012513"
0.0248,2012-08-13,0.00036456,"001012512"
12.0899752,2012-08-13,0.17772263544,"001012887"
0.124,2012-08-13,0.0018228,"001012695"
2.48e-05,2012-08-13,3.6456e-07,"001012766"
0.124,2012-06-04,0.0004216,"001012514"
0.0372,2012-06-04,0.00012648,"001012513"
0.0248,2012-06-04,8.432e-05,"001012512"
12.0899752,2012-06-04,0.04110591568,"001012887"
0.124,2012-06-04,0.0004216,"001012695"
2.48e-05,2012-06-04,8.432e-08,"001012766"
0.019,2012-07-29,0.0002755,"001012514"
0.0057,2012-07-29,8.265e-05,"001012513"
0.0038,2012-07-29,5.51e-05,"001012512"
1.8524962,2012-07-29,0.0268611949,"001012887"
0.019,2012-07-29,0.0002755,"001012695"
3.8e-06,2012-07-29,5.51e-08,"001012766"
0.1,2012-07-10,0.00088,"001012514"
0.03,2012-07-10,0.000264,"001012513"
0.02,2012-07-10,0.000176,"001012512"
9.74998,2012-07-10,0.085799824,"001012887"
0.1,2012-07-10,0.00088,"001012695"
2e-05,2012-07-10,1.76e-07,"001012766"
0.124,2012-06-11,0.0010788,"001012514"
0.0372,2012-06-11,0.00032364,"001012513"
0.0248,2012-06-11,0.00021576,"001012512"
12.0899752,2012-06-11,0.10518278424,"001012887"
0.124,2012-06-11,0.0010788,"001012695"
2.48e-05,2012-06-11,2.1576e-07,"001012766"
0.019,2012-05-29,0.0003553,"001012514"
0.0057,2012-05-29,0.00010659,"001012513"
0.0038,2012-05-29,7.106e-05,"001012512"
1.8524962,2012-05-29,0.03464167894,"001012887"
0.019,2012-05-29,0.0003553,"001012695"
3.8e-06,2012-05-29,7.106e-08,"001012766"
0.1,2012-07-08,0.00027,"001012514"
9.74998,2012-07-08,0.026324946,"001012887"
0.03,2012-07-08,8.1e-05,"001012512"
0.02,2012-07-08,5.4e-05,"001012511"
2e-05,2012-07-08,5.4e-08,"001012766"
0.1,2012-07-08,0.00027,"001012695"
0.1,2012-07-03,0.00063,"001012514"
9.74998,2012-07-03,0.061424874,"001012887"
0.03,2012-07-03,0.000189,"001012512"
0.02,2012-07-03,0.000126,"001012511"
2e-05,2012-07-03,1.26e-07,"001012766"
0.1,2012-07-03,0.00063,"001012695"
0.1,2012-07-10,0.00195,"001012514"
9.74998,2012-07-10,0.19012461,"001012887"
0.03,2012-07-10,0.000585,"001012512"
0.02,2012-07-10,0.00039,"001012511"
2e-05,2012-07-10,3.9e-07,"001012766"
0.1,2012-07-10,0.00195,"001012695"
0.1,2012-07-01,2e-05,"001012514"
9.74998,2012-07-01,0.001949996,"001012887"
0.03,2012-07-01,6e-06,"001012512"
0.02,2012-07-01,4e-06,"001012511"
2e-05,2012-07-01,4e-09,"001012766"
0.1,2012-07-01,2e-05,"001012695"
0.1,2012-07-17,0.00148,"001012514"
9.74998,2012-07-17,0.144299704,"001012887"
0.03,2012-07-17,0.000444,"001012512"
0.02,2012-07-17,0.000296,"001012511"
2e-05,2012-07-17,2.96e-07,"001012766"
0.1,2012-07-17,0.00148,"001012695"
0.02,2012-07-08,8.8e-05,"001012510"
9.74998,2012-07-08,0.042899912,"001012887"
0.1,2012-07-08,0.00044,"001012695"
2e-05,2012-07-08,8.8e-08,"001012764"
0.03,2012-07-08,0.000132,"001012513"
0.1,2012-07-08,0.00044,"001012514"
0.022,2012-06-13,3.96e-05,"001012510"
10.724978,2012-06-13,0.0193049604,"001012887"
0.11,2012-06-13,0.000198,"001012695"
2.2e-05,2012-06-13,3.96e-08,"001012764"
0.033,2012-06-13,5.94e-05,"001012513"
0.11,2012-06-13,0.000198,"001012514"
0.022,2012-06-01,0.0004202,"001012510"
10.724978,2012-06-01,0.2048470798,"001012887"
0.11,2012-06-01,0.002101,"001012695"
2.2e-05,2012-06-01,4.202e-07,"001012764"
0.033,2012-06-01,0.0006303,"001012513"
0.11,2012-06-01,0.002101,"001012514"
0.01,2012-05-21,0.00016,"001012510"
4.87499,2012-05-21,0.07799984,"001012887"
0.05,2012-05-21,8e-04,"001012695"
1e-05,2012-05-21,1.6e-07,"001012764"
0.015,2012-05-21,0.00024,"001012513"
0.05,2012-05-21,8e-04,"001012514"
0.02,2012-05-25,0.000154,"001012510"
9.74998,2012-05-25,0.075074846,"001012887"
0.1,2012-05-25,0.00077,"001012695"
2e-05,2012-05-25,1.54e-07,"001012764"
0.03,2012-05-25,0.000231,"001012513"
0.1,2012-05-25,0.00077,"001012514"
0.022,2012-08-16,4.62e-05,"001012510"
10.724978,2012-08-16,0.0225224538,"001012887"
0.11,2012-08-16,0.000231,"001012695"
2.2e-05,2012-08-16,4.62e-08,"001012764"
0.033,2012-08-16,6.93e-05,"001012513"
0.11,2012-08-16,0.000231,"001012514"
0.022,2012-06-21,0.0004114,"001012510"
10.724978,2012-06-21,0.2005570886,"001012887"
0.11,2012-06-21,0.002057,"001012695"
2.2e-05,2012-06-21,4.114e-07,"001012764"
0.033,2012-06-21,0.0006171,"001012513"
0.11,2012-06-21,0.002057,"001012514"
0.02,2012-07-01,0.000188,"001012510"
9.74998,2012-07-01,0.091649812,"001012887"
0.1,2012-07-01,0.00094,"001012695"
2e-05,2012-07-01,1.88e-07,"001012764"
0.03,2012-07-01,0.000282,"001012513"
0.1,2012-07-01,0.00094,"001012514"
0.01,2012-05-14,0.000186,"001012510"
4.87499,2012-05-14,0.090674814,"001012887"
0.05,2012-05-14,0.00093,"001012695"
1e-05,2012-05-14,1.86e-07,"001012764"
0.015,2012-05-14,0.000279,"001012513"
0.05,2012-05-14,0.00093,"001012514"
0.022,2012-08-02,0.0002464,"001012510"
10.724978,2012-08-02,0.1201197536,"001012887"
0.11,2012-08-02,0.001232,"001012695"
2.2e-05,2012-08-02,2.464e-07,"001012764"
0.033,2012-08-02,0.0003696,"001012513"
0.11,2012-08-02,0.001232,"001012514"
0.022,2012-07-25,1.98e-05,"001012510"
10.724978,2012-07-25,0.0096524802,"001012887"
0.11,2012-07-25,9.9e-05,"001012695"
2.2e-05,2012-07-25,1.98e-08,"001012764"
0.033,2012-07-25,2.97e-05,"001012513"
0.11,2012-07-25,9.9e-05,"001012514"
0.02,2012-07-10,0.000216,"001012510"
9.74998,2012-07-10,0.105299784,"001012887"
0.1,2012-07-10,0.00108,"001012695"
2e-05,2012-07-10,2.16e-07,"001012764"
0.03,2012-07-10,0.000324,"001012513"
0.1,2012-07-10,0.00108,"001012514"
0.006,2012-06-01,6.96e-05,"001012510"
2.924994,2012-06-01,0.0339299304,"001012887"
0.03,2012-06-01,0.000348,"001012695"
6e-06,2012-06-01,6.96e-08,"001012764"
